# commit: 34799ff13cba0c79c2ae4ec9dd484621e7465b07
# arch	numCUs	numChiplets	testVector	perfConfig (greedy)
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA true -transB false -g 1 -m 1500 -n 3840 -k 1280	v4:64,128,4,32,64,16,4,1,4,0,1,16,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 1 -n 1001 -k 2048	v4:64,16,8,32,16,16,16,1,2,1,8,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 1500 -n 5120 -k 1280	v4:32,64,8,32,16,16,4,1,4,1,1,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 1500 -n 3840 -k 1280	v4:128,96,4,32,48,16,4,1,1,0,0,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 20 -m 216 -n 1 -k 64	v4:64,16,8,16,16,16,8,1,3,1,1,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 20 -m 216 -n 64 -k 1	v4:32,32,2,32,32,32,4,1,1,0,1,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 20 -m 216 -n 64 -k 216	v4:32,32,4,32,32,16,8,1,4,0,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 216 -n 1280 -k 1280	v4:64,32,8,16,32,16,16,1,2,1,4,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 216 -n 1280 -k 5120	v4:112,32,4,112,16,16,16,4,4,1,0,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 216 -n 3840 -k 1280	v4:32,32,4,32,16,16,16,1,4,0,1,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1 -n 81920 -k 1280	v4:16,64,4,16,32,16,8,1,3,0,8,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 216 -n 5120 -k 1280	v4:96,64,8,48,16,16,16,1,1,0,1,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB true -g 20 -m 216 -n 216 -k 64	v4:32,32,8,32,32,16,8,1,4,0,1,32,1,1
